raHours	raMins	raSecs	raErrSecs	decDegs	decArcmins	decArcsecs	decErrArcsecs	longitudeDegs	latitudeDegs	nvssStokesIs	stokesIErrs	AvePeakPIs	PIErrs	polarizationPercents	mErrPercents	rotationMeasures	RMErrs
3.0	19.0	23.858400000002288	0.216	31.0	1.0	43.284000000003566	0.216	156.7081380972819	-21.96910321464522	0.0368072435756667	nan	0.0020159031	nan	5.476522423160811	nan	33.777412	0.49198952
3.0	19.0	27.67680000000354	1.836	31.0	21.0	15.155999999994096	1.98	156.51778809244948	-21.695375983744245	0.0065979934976297	nan	0.0004958674	nan	7.510701326628301	nan	58.601063	1.4552824
3.0	20.0	3.0048000000032715	0.07200000000000001	31.0	7.0	33.74400000001174	0.07200000000000001	156.77031734719827	-21.808903579127673	0.1141414072120125	nan	0.00580888	nan	5.089343794857871	nan	75.94589	0.12320466
3.0	20.0	21.420000000001664	0.36000000000000004	31.0	38.0	24.46799999999712	0.324	156.5079345108568	-21.351685462139805	0.0208833215623225	nan	0.0014396785999999998	nan	6.893420287714758	nan	47.79162	0.48620918
3.0	20.0	27.79440000000079	1.224	31.0	56.0	38.867999999991696	1.26	156.33927162926452	-21.090523254083518	0.0042720855807717	nan	0.0006702265	nan	15.683402615145686	nan	44.810696	1.048052
3.0	20.0	44.690400000001056	0.432	31.0	46.0	1.0200000000048703	0.396	156.50141509651797	-21.200519174024745	0.0162804364222603	nan	0.0011281278	nan	6.928547608662412	nan	54.01694499999999	0.62202483
3.0	20.0	45.41520000000325	1.044	31.0	12.0	6.3359999999877905	0.792	156.85567913583543	-21.659537499666246	0.0109176843054599	nan	0.0010236169	nan	9.374455881360287	nan	46.879368	0.6836968000000001
3.0	20.0	55.67760000000376	3.312	31.0	36.0	2.7000000000052182	3.096	156.6388038177002	-21.31341518595761	0.0018201855989933	nan	0.00035457476	nan	19.462628215290774	nan	49.666195	1.741888
3.0	20.0	57.11280000000272	3.132	30.0	56.0	15.288000000001887	1.944	157.05762310588605	-21.850206900818986	0.0043505643057377	nan	0.00036049142	nan	8.282291909429361	nan	54.350895	2.0099947
3.0	20.0	59.3136000000034	1.008	31.0	1.0	39.86400000000515	0.9360000000000002	157.00798853073803	-21.772315062586827	0.011336524639768	nan	0.00032293866	nan	2.844671520755852	nan	45.31178	2.1725087000000003
3.0	20.0	59.89920000000211	1.044	30.0	50.0	54.384000000013096	0.9	157.1222905512297	-21.91687227028883	0.0079461227102929	nan	0.00033932645	nan	4.262155955018619	nan	64.24135600000001	2.5418766
3.0	21.0	0.031200000001376793	6.084	31.0	13.0	16.464000000005967	3.888	156.88910898091504	-21.613420982996832	0.0016530271161955	nan	0.00039808577	nan	24.607785802689857	nan	42.425503000000006	1.9913983
3.0	21.0	13.197600000003431	0.324	30.0	59.0	51.647999999996436	0.28800000000000003	157.07023999172782	-21.767882949110977	0.0270094373056758	nan	0.0010894879	nan	4.033209357761165	nan	52.73574	0.65576845
3.0	21.0	29.16480000000348	0.36000000000000004	30.0	57.0	6.227999999991879	0.612	157.14899132576366	-21.7719498166143	0.0160513262055322	nan	0.0010547882	nan	6.570493538437173	nan	48.591686	0.6582979999999999
3.0	21.0	47.89200000000221	1.224	31.0	53.0	29.00400000000445	2.268	156.6193661532162	-20.969363378632977	0.0039023622343376	nan	0.0006017175599999999	nan	15.413040726958856	nan	51.1612	1.170221
3.0	21.0	48.151200000001786	2.124	31.0	14.0	31.37999999999636	2.34	157.0259225744307	-21.496654640050792	0.0025161829081969	nan	0.00024136648	nan	9.57009829956581	nan	50.628624	2.810168
3.0	22.0	13.747200000001598	0.36000000000000004	31.0	12.0	21.168000000001825	0.36000000000000004	157.1281795815525	-21.472735441998417	0.0170923185609731	nan	0.0006369486	nan	3.72806028137794	nan	49.9847	1.1195483
3.0	22.0	21.84720000000191	1.044	32.0	6.0	30.0600000000054	1.044	156.5886985215445	-20.723099522270573	0.0051092259724209	nan	0.00021128732999999995	nan	4.200516045662525	nan	34.036564	3.3378282
3.0	22.0	28.53600000000171	0.504	29.0	41.0	43.29599999999033	0.504	158.13245946668792	-22.663673154223382	0.0090245340518069	nan	0.00027439036	nan	3.086879597967561	nan	20.020407	2.572608
3.0	22.0	34.98000000000225	0.648	28.0	58.0	31.8719999999982	0.7200000000000001	158.61571159183345	-23.22996403835596	0.0087510275725166	nan	0.0005022212	nan	5.7355883840425275	nan	26.235601000000006	1.4145119
3.0	22.0	35.112000000001515	3.0239999999999996	29.0	8.0	0.9959999999904312	2.628	158.51413887451392	-23.102400872787513	0.0018341753185162	nan	0.00030179153	nan	16.42715540446265	nan	75.279434	2.3367467
3.0	22.0	35.692800000002755	0.10799999999999997	31.0	12.0	1.2600000000009004	0.10799999999999997	157.1997909559325	-21.43143882233079	0.0475145341119908	nan	0.0013025713	nan	2.741163776976023	nan	42.193104	0.55164415
3.0	22.0	43.92000000000166	0.036000000000000004	29.0	33.0	54.17999999999779	0.07200000000000001	158.2646751994174	-22.73583590477956	0.1094995763500801	nan	0.0009695574	nan	0.8853095121472812	nan	16.960531	0.7118561999999999
3.0	22.0	58.27440000000181	3.06	31.0	3.0	51.04800000000125	2.16	157.35570719126187	-21.494474987827875	0.0019628999334974	nan	0.0003484811	nan	17.734447015397606	nan	65.95874	1.8966885
3.0	23.0	7.94640000000271	0.972	29.0	11.0	58.63199999999807	1.152	158.5760484563851	-22.978372200907437	0.0052092319461649	nan	0.00020503545	nan	3.643184028292119	nan	22.678974	3.242579
3.0	23.0	19.96800000000121	0.28800000000000003	28.0	54.0	27.287999999997798	0.432	158.80317160494243	-23.18705609269029	0.0179937229002958	nan	0.0010939968	nan	6.0790990004369165	nan	17.563622	0.6549206
3.0	23.0	20.512800000002326	0.036000000000000004	32.0	9.0	51.192000000000924	0.036000000000000004	156.7334683584185	-20.55693279069987	0.1607429533597332	nan	0.0034616117	nan	2.1534774290745715	nan	82.64536	0.20498915
3.0	23.0	25.01520000000326	0.504	30.0	1.0	8.112000000004969	0.5399999999999999	158.103518359357	-22.28205789658141	0.0102097885726285	nan	0.00038572593	nan	3.774300890456935	nan	19.270973	1.8173814
3.0	23.0	26.5488000000034	4.5360000000000005	29.0	2.0	49.235999999988	3.6	158.7338186229809	-23.06077029305104	0.0010914199510882	nan	0.00024764915	nan	22.66351771195128	nan	60.94877	2.8704107000000003
3.0	23.0	26.86800000000176	0.18000000000000002	29.0	22.0	48.28799999999831	0.14400000000000002	158.51967405612962	-22.792371091067253	0.0403135056447067	nan	0.0016688958	nan	4.1395683105909375	nan	12.847766	0.42140946
3.0	23.0	29.385600000003443	0.10799999999999997	29.0	17.0	7.8720000000063814	0.10799999999999997	158.58865488156377	-22.86296194668395	0.0493316748188404	nan	0.0009439125	nan	1.9130803379355985	nan	0.8413539000000001	0.7502289000000001
3.0	23.0	35.16240000000195	2.9880000000000004	28.0	56.0	43.15200000000857	5.472	158.8270999403048	-23.123725897564558	0.0017928580851725	nan	0.00050065387	nan	27.889850813632002	nan	32.41803400000001	2.0564787
3.0	23.0	37.23120000000165	0.4680000000000001	30.0	4.0	35.3640000000118	0.396	158.10503551561246	-22.209576373789353	0.0126129902581537	nan	0.0007429533	nan	5.888773247243522	nan	29.526655	0.96006024
3.0	23.0	37.87440000000202	0.28800000000000003	29.0	34.0	34.535999999991986	0.28800000000000003	158.42810151825128	-22.610866559839987	0.0189815486410968	nan	0.00040932678	nan	2.154506875639962	nan	17.01606	1.73981
3.0	23.0	45.23760000000337	2.8080000000000003	31.0	44.0	59.17200000000577	0.972	157.0688486288546	-20.84150583744316	0.0051925616408984	nan	0.0005338548	nan	10.275921629584117	nan	31.815825	1.3071896
3.0	23.0	46.27200000000258	1.152	29.0	23.0	3.1559999999853967	1.548	158.5784286915046	-22.747146666721505	0.0045391407814383	nan	0.0005676321499999999	nan	12.499794197001355	nan	16.057575	1.2152815
3.0	23.0	53.635200000002214	2.4840000000000004	31.0	45.0	17.424000000005435	3.3480000000000003	157.09142203396382	-20.81992275242125	0.0028742188632406	nan	0.00025932616	nan	9.004335193571665	nan	22.942665	2.6044261000000004
3.0	23.0	54.48720000000279	0.612	28.0	54.0	13.355999999988056	0.5760000000000001	158.9155883658124	-23.115052672270288	0.0097394412567989	nan	0.0003440075700000001	nan	3.527531889424541	nan	56.17135	2.0899978
